,Time,Available Sounding Files,Accepted Files
0,1986-04-25T12,39,33
1,1986-04-26T12,41,34
2,1986-04-27T00,41,38
3,1986-04-27T12,39,34
4,1986-04-28T00,41,36
5,1986-04-28T12,46,27
6,1986-04-29T00,45,31
7,1986-04-29T12,49,26
8,1986-04-30T00,44,38
9,1986-04-30T12,51,34
10,1986-05-01T00,44,32
11,1986-05-01T12,44,32
12,1986-05-02T00,48,28
13,1986-05-02T12,50,28
14,1986-05-03T00,43,32
15,1986-05-03T12,45,31
16,1986-05-04T00,0,0
17,1986-05-04T12,45,34
18,1986-05-05T00,47,29
19,1986-05-05T12,50,36
20,1986-05-06T00,47,29
21,1986-05-06T12,49,34
22,1986-05-07T00,49,23
23,1986-05-07T12,50,37
24,1986-05-08T00,45,35
25,1986-04-26T00,41,31
