1,2,3,4,5,6,7,8,9
ENAN,1010,69.3,16.15,14,20140000,99999999,ANDOYA/ANDENES(AFB),NO
ENBO,1152,67.25,14.4,8,19980000,99999999,BODO VI (CIV/MIL),NO
ENOL,1241,63.7,9.6,7,19980000,99999999,ORLAND III(NOR-AFB),NO
ENGM,1384,60.2,11.1,201,19980000,20010401,OSLO/GARDERMOEN,NO
ENEK,1400,56.53,3.22,46,19980000,99999999,EKOFISK,NO
ENZV,1415,58.87,5.67,33,19980000,99999999,STAVANGER/SOLA(AFB),NO
9999,1492,59.95,10.72,96,20010719,99999999,OSLO-BLINDERN,NO
ESPA,2185,65.55,22.13,16,19960700,99999999,LULEA/KALLAX (AFB),SE
9999,2225,63.18,14.5,366,0,99999999,OSTERSUND,SE
ESNN,2365,62.53,17.47,6,19941000,99999999,SUNDSVALL/HARNOSAND,SE
ESGG,2527,57.67,12.3,155,19960300,99999999,GOTEBORG/LANDVETTER,SE
ESQV,2591,57.65,18.35,45,19910500,99999999,VISBY AERO STATION,SE
EFSO,2836,67.37,26.65,178,19960100,99999999,SODANKYLA,FI
EFJY,2935,62.4,25.67,139,19960300,99999999,JYVASKYLA (MIL/CIV),FI
9999,2963,60.82,23.5,103,19900800,99999999,JOKIOINEN,FI
9999,3495,52.77,1.35,17,0,99999999,COLTISHALL,GB
9999,3496,52.68,1.68,13,19940900,99999999,HEMSBY,GB
EGUW,3590,52.12,0.97,87,0,99999999,WATTISHAM RAF,GB
9999,3693,51.55,0.83,3,19920800,99999999,SHOEBURYNESS,GB
9999,3696,51.85,1.28,6,0,20009999,WALTON-ON-NAZE,GB
9999,3882,50.9,0.32,54,19951100,99999999,HERSTOMONCEUX WEST,GB
9999,6030,57.1,9.87,3,20110101,99999999,ALBORG,DN
EKKA,6060,56.3,9.12,53,20100101,99999999,KARUP,DN
9999,6181,55.77,12.53,40,19961200,99999999,KOEBENHAVN\JAEGERSBORG,DK
9999,6210,52.17,4.42,1,0,99999999,VALKENBURG,NL
EHKD,6235,52.92,4.78,14,20070922,99999999,DE KOOY (NAVY),NL
EHDB,6260,52.1,5.18,2,0,99999999,DE BILT,NL
EBFN,6400,51.08,2.65,9,0,99999999,KOKSIJDE (BEL-AFB),BE
9999,6447,50.8,4.35,104,19901000,99999999,UCCLE/UKKLE,BE
9999,6458,50.75,4.77,127,19900000,99999999,BEAUVECHAIN,BE
ESBU,6476,50.03,5.4,558,19910700,99999999,SAINT HUBERT (MIL),BE
EBLB,6496,50.47,6.18,570,19910300,99999999,ELSENBORN (MIL),BE
LSMP,6610,46.82,6.95,490,19910800,99999999,PAYERNE (MIL/AUT),CH
9999,6843,46.7,9.42,865,0,99999999,MASEIN,CH
9999,7145,48.77,2.02,168,0,99999999,TRAPPES (AUT),FR
LFSN,7180,48.68,6.22,225,19940400,99999999,NANCY/ESSEY,FR
LFLL,7481,45.73,5.08,248,19900800,99999999,LYON/SATOLAS,FR
9999,10035,54.53,9.55,48,0,99999999,SCHLESWIG,DE
9999,10113,53.72,7.15,16,20110101,99999999,NORDERNEY,DL
9999,10184,54.1,13.4,6,19911000,99999999,GREIFSWALD,DE
