34009 Kursk Observations at 12Z 26 Apr 1986

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0    169                                                               
  991.0    247   20.2    8.2     46   6.93    135      8  294.1  314.4  295.3
  850.0   1538    6.6   -0.4     61   4.39    125     20  293.1  306.1  293.8
  800.0   2033    2.8   -2.2     70   4.09    127     24  294.1  306.4  294.8
  795.0   2084    2.0   -3.0     69   3.87    127     25  293.8  305.4  294.5
  776.0   2280    3.6   -5.3     52   3.34    127     27  297.6  307.8  298.1
  737.0   2697    0.8  -10.2     44   2.40    129     30  298.9  306.5  299.3
  712.0   2975    0.8  -19.2     21   1.18    130     33  301.9  305.8  302.1
  700.0   3111   -0.5  -22.5     17   0.90    130     34  301.9  304.9  302.1
  500.0   5700  -20.9  -40.9     15   0.22    145     42  307.5  308.3  307.5
  400.0   7310  -32.3  -41.3     40   0.26    165     50  312.9  313.9  313.0
  339.0   8443  -40.2  -48.7     40   0.14    160     90  317.3  317.8  317.3
  300.0   9280  -46.1  -54.1     40   0.08    168     82  320.3  320.6  320.3
  250.0  10470  -52.5  -60.5     37   0.04    179     70  327.9  328.1  327.9
  225.0  11144  -57.3  -64.3     41   0.03    185     62  330.6  330.7  330.6
  207.0  11672  -57.3  -64.3     41   0.03    190     57  338.5  338.7  338.5
  200.0  11890  -56.1  -64.1     36   0.03    192     55  343.8  343.9  343.8
  187.0  12320  -53.3  -61.3     37   0.05    197     50  354.9  355.2  355.0
  150.0  13740  -53.7  -61.7     37   0.06    210     35  377.3  377.7  377.4
  100.0  16330  -55.3  -64.3     32   0.07    235      8  420.6  421.0  420.6
   70.0  18610  -54.5  -63.5     32   0.11    360     14  467.4  468.1  467.5
   50.0  20770  -55.3  -65.3     28   0.12     85     14  512.7  513.5  512.8
   30.0  24030  -53.9  -64.9     25   0.21     95     10  597.1  598.8  597.2
