1	2	3	4	5	6	7	8	9
ENJA	1001	70.93N	8.67W	9	19980000	99999999	JAN MAYEN(NOR-NAVY)	NO
ENAS	1004	78.92N	11.93E	8	20010101	99999999	NY-ALESUND II	NO
ENAN	1010	69.30N	16.15E	14	20140000	99999999	ANDOYA/ANDENES(AFB)	NO
ENBJ	1028	74.52N	19.02E	18	19980000	99999999	BJORNOYA ISLAND	NO
ENBO	1152	67.25N	14.40E	8	19980000	99999999	BODO VI (CIV/MIL)	NO
ENOL	1241	63.70N	9.60E	7	19980000	99999999	ORLAND III(NOR-AFB)	NO
ENGM	1384	60.20N	11.10E	201	19980000	20010401	OSLO/GARDERMOEN	NO
ENEK	1400	56.53N	3.22E	46	19980000	99999999	EKOFISK	NO
ENZV	1415	58.87N	5.67E	33	19980000	99999999	STAVANGER/SOLA(AFB)	NO
9999	1492	59.95N	10.72E	96	20010719	99999999	OSLO-BLINDERN	NO
ESPA	2185	65.55N	22.13E	16	19960700	99999999	LULEA/KALLAX (AFB)	SE
9999	2225	63.18N	14.50E	366	0	99999999	OSTERSUND	SE
ESNN	2365	62.53N	17.47E	6	19941000	99999999	SUNDSVALL/HARNOSAND	SE
ESGG	2527	57.67N	12.30E	155	19960300	99999999	GOTEBORG/LANDVETTER	SE
ESQV	2591	57.65N	18.35E	45	19910500	99999999	VISBY AERO STATION	SE
EFSO	2836	67.37N	26.65E	178	19960100	99999999	SODANKYLA	FI
EFJY	2935	62.40N	25.67E	139	19960300	99999999	JYVASKYLA (MIL/CIV)	FI
9999	2963	60.82N	23.50E	103	19900800	99999999	JOKIOINEN	FI
9999	3001	60.85N	0.88W	53	0	20019999	MUCKLE FLUGGA (LH)	GB
9999	3005	60.13N	1.18W	82	19900800	99999999	LERWICK/SHETLAND IS	GB
9999	3023	57.33N	7.37W	10	19961100	99999999	SOUTH UIST RANGE	GB
EGPO	3026	58.22N	6.32W	9	0	99999999	STORNOWAY	GB
EGQK	3066	57.65N	3.57W	7	19920400	99999999	KINLOSS RAF	GB
EGPD	3091	57.20N	2.22W	65	19901000	20009999	ABERDEEN/DYCE	GB
EGOY	3130	54.85N	4.95W	16	0	20009999	WEST FREUGH	GB
9999	3132	54.85N	4.95W	12	19940500	20009999	WEST FREUGH (AUT)	GB
9999	3162	55.32N	3.20W	242	0	20009999	ESKDALEMUIR	GB
